% Fill in this file
% Format: filename dist thresholds
% dist should be a whole number in inches.
% thresholds should be six floats from 0-1.
%------------------------------------------------------------
large_1.jpeg 24 0.1496 0.2381 0.2294 1.0 0.204 0.9373
large_2.jpeg 36 0.148148 0.221569 0.256579 0.851064 0.184314 0.886275
large_3.jpeg 48 0.145161 0.224806 0.245614 0.881579 0.266667 0.807843
large_4.jpeg 72 0.140351 0.217391 0.346667 0.784314 0.192157 0.737255
large_5.jpeg 96 0.150407 0.298851 0.290698 0.677966 0.305882 0.682353
large_6.jpeg 120 0.166667 0.231183 0.240964 0.742857 0.274510 0.607843
small_1.jpeg 12 0.129167 0.250000 0.291845 0.750000 0.376471 1.000
small_2.jpeg 24 0.138418 0.233333 0.329545 0.881720 0.231373 0.960784
small_3.jpeg 36 0.140351 0.225926 0.310734 0.953704 0.368627 0.952941
small_4.jpeg 48 0.154321 0.227778 0.306358 1.000 0.282353 0.890196
small_5.jpeg 72 0.142857 0.227642 0.301370 0.887324 0.258824 0.788235
small_6.jpeg 96 0.166667 0.214646 0.265060 0.838710 0.274510 0.749020
small_7.jpeg 120 0.146465 0.225926 0.348315 0.858586 0.270588 0.682353
